Name,(Sub Categories: School & Family),Longitude,Latitude
Healdsburg Elementary School - HES Campus,School Shows,-122.8613735,38.6131005
The REACH School,School Shows,-122.8504693,38.3913272
Healdsburg Charter School - HES Campus,School Shows,-122.8613735,38.6131005
Jack London Elementary School,School Shows,-122.7650564,38.4798227
Victory Christian Academy,School Shows,-122.6748162,38.483296
Meadow Elementary School,School Shows,-122.6445787,38.26611370000001
Kid Street Learning Center,School Shows,-122.7220634,38.4409933
Cross & Crown Lutheran School,School Shows,-122.6864071,38.3398132
Forestville Academy,School Shows,-122.8870983,38.4737503
Adele Harrison Middle School,School Shows,-122.4587847,38.2796139
Two Rock Union School,School Shows,-122.7787807,38.2551858
Salmon Creek Harmony ARK,School Shows,-122.9307362,38.388662
Grant Elementary School,School Shows,-122.6302182,38.2203968
Sonoma Mountain Elementary School,School Shows,-122.6293793,38.2672943
University Elementary at La Fiesta,School Shows,-122.6921272,38.3252619
The Little School House Inc.,School Shows,-122.7748124,38.5144088
Bellevue Elementary School,School Shows,-122.7356064,38.3977054
Geyserville Elementary School,School Shows,-122.5259596,38.3747503
Whited Elementary School,School Shows,-122.6621374,38.465539
Biella Elementary School,School Shows,-122.7553436,38.4496506
Roseland Elementary School,School Shows,-122.7302724,38.4286889
César Chávez Language Academy,School Shows,-122.7465528,38.4567389
Corona Creek Elementary School,School Shows,-122.6483423,38.2756902
Sheppard Accelerated Elementary School,School Shows,-122.7280413,38.4193803
Monte Rio Union School,School Shows,-123.0148319,38.4717579
Petaluma Accelerated Charter School,School Shows,-122.6337506,38.2441147
Dunbar Elementary School,School Shows,-122.5261182,38.3870657
Wright Charter School,School Shows,-122.7738424,38.4195544
J.X. Wilson Elementary School,School Shows,-122.74937,38.43307
West Side Union School,School Shows,-122.8837289,38.5801095
Cardinal Newman High School,School Shows,-122.7391123,38.490942
Marguerite Hahn Elementary School,School Shows,-122.6944879,38.36503889999999
Cinnabar Elementary School & District,School Shows,-122.7465528,38.4567389
John Reed Elementary School,School Shows,-122.7059604,38.340672
Roseland Collegiate Prep,School Shows,-122.7398409,38.4952702
Roseland Accelerated Middle School,School Shows,-122.7280413,38.4193803
Helen Lehman Elementary School,School Shows,-122.7435195,38.4490968
Analy High School,School Shows,-122.8264286,38.4068311
Healdsburg Junior High School,School Shows,-122.8669023,38.6165838
Roseland University Prep,School Shows,-122.7309734,38.4188084
Kawana Springs Elementary School,School Shows,-122.7006656,38.421003
St. Vincent de Paul Elementary School,School Shows,-122.6466876,38.2347292
Pod School,School Shows,-122.6441924,38.4643868
Rincon Valley Home Study,School Shows,-122.6707515,38.4374958
Gravenstein Elementary School,School Shows,-122.7848276,38.3651733
Miwok Valley Elementary School,School Shows,-122.6102345,38.2359759
Steele Lane Elementary School,School Shows,-122.720728,38.461633
West County Special Education Consortium,School Shows,-122.8231265,38.4063
Monte Vista Elementary,School Shows,-122.6809553,38.3296522
Brook Hill Elementary School,School Shows,-122.6928773,38.43748009999999
Journey Academy,School Shows,-122.8473679,38.4224545
Santa Rosa French-American Charter School,School Shows,-122.6966501,38.4413615
Pivot Online Charter School - North Bay,School Shows,-122.7520139,38.4739555
Piner-Olivet Charter School,School Shows,-122.7650564,38.4798227
New Horizon School and Learning Center,School Shows,-122.7094305,38.4417215
Windsor Middle School,School Shows,-122.806422,38.5579244
Healdsburg High School,School Shows,-122.8673967,38.6223606
The Spring Hill School,School Shows,-122.6239922,38.2240703
Park Side Elementary School,School Shows,-122.8299574,38.4003655
Lawrence Jones Middle School,School Shows,-122.6836995,38.3538657
Ridgway High School,School Shows,-122.7224388,38.4496895
Proctor Terrace Elementary School,School Shows,-122.697312,38.451937
Elsie Allen High School,School Shows,-122.7343714,38.4047185
Live Oak Charter School,School Shows,-122.627558,38.240567
Mary Collins Elementary School at Cherry Valley,School Shows,-122.6548317,38.2431797
Willowside Middle School,School Shows,-122.8054963,38.4384654
